Date,Price
2023-01-01,100
2023-01-02,101
2023-01-03,102
2023-01-04,103
2023-01-05,104
2023-01-06,105
2023-01-07,106
2023-01-08,107
2023-01-09,108
2023-01-10,109
2023-01-11,110
2023-01-12,111
2023-01-13,112
2023-01-14,113
2023-01-15,114
2023-01-16,115
2023-01-17,116
2023-01-18,117
2023-01-19,118
2023-01-20,119
2023-01-21,120
2023-01-22,121
2023-01-23,122
2023-01-24,123
2023-01-25,124
2023-01-26,125
2023-01-27,126
2023-01-28,127
2023-01-29,128
2023-01-30,129
2023-01-31,130
2023-02-01,131
2023-02-02,132
2023-02-03,133
2023-02-04,134
2023-02-05,135
2023-02-06,136
2023-02-07,137
2023-02-08,138
2023-02-09,139
2023-02-10,140
2023-02-11,141
2023-02-12,142
2023-02-13,143
2023-02-14,144
2023-02-15,145
2023-02-16,146
2023-02-17,147
2023-02-18,148
2023-02-19,149
2023-02-20,150
2023-02-21,151
2023-02-22,152
2023-02-23,153
2023-02-24,154
2023-02-25,155
2023-02-26,156
2023-02-27,157
2023-02-28,158
2023-03-01,159
2023-03-02,160
2023-03-03,161
2023-03-04,162
2023-03-05,163
2023-03-06,164
2023-03-07,165
2023-03-08,166
2023-03-09,167
2023-03-10,168
2023-03-11,169
2023-03-12,170
2023-03-13,171
2023-03-14,172
2023-03-15,173
2023-03-16,174
2023-03-17,175
2023-03-18,176
2023-03-19,177
2023-03-20,178
2023-03-21,179
2023-03-22,180
2023-03-23,181
2023-03-24,182
2023-03-25,183
2023-03-26,184
2023-03-27,185
2023-03-28,186
2023-03-29,187
2023-03-30,188
2023-03-31,189
2023-04-01,190
2023-04-02,191
2023-04-03,192
2023-04-04,193
2023-04-05,194
2023-04-06,195
2023-04-07,196
2023-04-08,197
2023-04-09,198
2023-04-10,199
2023-04-11,200
2023-04-12,201
2023-04-13,202
2023-04-14,203
2023-04-15,204
2023-04-16,205
2023-04-17,206
2023-04-18,207
2023-04-19,208
2023-04-20,209
